編號,name,別稱,標高M,三角點,緯度N,經度E,圖名,圖號,山脈,轄區,轄區,區域,備註,latitude,longitude
1,玉山,新高山,3952,一等,244806.455,2596535.633,玉山,9519-1.NE,玉山山脈,南投信義,嘉義阿里山,高雄桃源,,23.470001917,120.957273921
2,玉山東峰,天壘峰,3869,,245664,2596621,玉山,9519-1.NE,玉山山脈,南投信義,高雄桃源,,,23.470774869,120.965668322
3,玉山北峰,天駝峰,3858,內埔5,245052,2598468,玉山,9519-1.NE,玉山山脈,南投信義,,,,23.487452118,120.959672282
4,玉山北北峰,北北山,3833,,244984,2598870,玉山,9519-1.NE,玉山山脈,南投信義,,,,23.491082059,120.959005413
5,玉山南峰,天龍峰,3844,,244960,2593942,玉山,9519-1.NE,玉山山脈,高雄桃源,,,,23.446581369,120.95878426
6,玉山圓峰,,3752,,244342,2595325,玉山,9519-1.NE,玉山山脈,高雄桃源,日稱南峰,,,23.45906839,120.952731214
7,玉山南山三叉峰,南山,3807,,244608,2594165,玉山,9519-1.NE,玉山山脈,高雄桃源,,,,23.448594153,120.955338425
8,玉山小南山,小南山,3582,,242718,2593330,玉山,9519-1.NE,玉山山脈,高雄桃源,,,,23.441047558,120.936843584
9,南玉山,,3383,二等1685,241497.966,2592026.986,玉山,9519-1.NE,玉山山脈,高雄桃源,,,,23.429275802,120.924909797
10,東小南山,,3711,三等7541,245432.526,2593106.328,玉山,9519-1.NE,玉山山脈,高雄桃源,,,,23.439036245,120.96341113
11,鹿山,,2981,三等7542,247994,2594392,玉山,9519-1.NE,玉山山脈,高雄桃源,基點2981,山頭3165,,23.45064997,120.988478826
12,西山,玉山西峰,3490,新中橫5號,242450,2596805,玉山,9519-1.NE,玉山西伸分支,南投信義,嘉義阿里山,,,23.472426316,120.934205129
13,前山,玉山前鋒,3239,內補359,240760.242,2597157.926,玉山,9519-1.NE,玉山西伸分支,南投信義,嘉義阿里山,,,23.475605432,120.917661636
14,郡大山,,3292,森.二1694,245330,2608425,同富,9520-2.SE,玉山郡大山列,南投信義,,,,23.577365374,120.962368447
15,郡大山北峰,,3241,,244772,2609596,同富,9520-2.SE,玉山郡大山列,南投信義,,,,23.587938117,120.956898239
16,望鄉山,,3007,森林,243497,2610272,同富,9520-2.SE,玉山郡大山列,南投信義,,,,23.59403844,120.944403428
17,清水山,,3048,森林,245495,2616095,巒安堂,9520-2.NE,玉山郡大山列,南投信義,,,,23.646625819,120.96396603
18,清水山南峰,,3018,,245823,2615201,巒安堂,9520-2.NE,玉山郡大山列,南投信義,,,,23.638553749,120.967183165
19,金子山,郡坑山東峰,3005,二等1697,244349,2618781,巒安堂,9520-2.NE,玉山郡大山列,南投信義,基點2928,,,23.670877219,120.95272399
20,巒大山,西巒大山,3081,森林,243783,2621344,巒安堂,9520-2.NE,玉山郡大山列,南投信義,,,,23.69401909,120.947165614
21,白姑大山,白狗大山,3342,一等,260239.647,2677680.277,青山,9621-3.NW,雪山白狗山列,南投仁愛,台中和平,,,24.202683461,121.108961576
22,白姑大山西峰,,3251,,258717,2676353,青山,9621-3.NW,雪山白狗山列,南投仁愛,台中和平,,,24.190709059,121.093963475
23,白姑大山西南峰,,3171,,258461,2675675,青山,9621-3.NW,雪山白狗山列,南投仁愛,台中和平,,,24.184588718,121.091439218
24,白姑大山東峰,,3036,,264144,2678811,力行,9621-3.NE,雪山白狗山列,南投仁愛,台中和平,,,24.212860729,121.147408705
25,白姑大山中峰,,3049,,263689,2678064,力行,9621-3.NE,雪山白狗山列,南投仁愛,台中和平,P.14.,,24.206120134,121.142921699
26,白姑大山東南峰,,3035,,262371,2677075,青山,9621-3.NW,雪山白狗山列,南投仁愛,台中和平,,,24.197201792,121.129937594
27,雪山,次高山,3886,一等,272679.921,2697710.422,興隆山,9621-4.NE,雪山山脈,台中和平,苗栗泰安,,,24.383401356,121.231754457
28,雪山南峰,,3505,,273239,2696538,梨山,9621-4.SE,志佳陽支脈,台中和平,,,,24.372807002,121.237246175
29,志佳陽大山,,3345,,274352,2695147,梨山,9621-4.SE,志佳陽支脈,台中和平,,,,24.360230055,121.248192846
30,志佳陽大山基點,,3289,三等6303,274670.165,2694876.154,梨山,9621-4.SE,志佳陽支脈,台中和平,,,,24.357779412,121.251323953
